"","time","S","I","R","replicate"
"75",72.4137931034483,497.664095047432,1030.63928024493,7336.45696097284,3
"76",77.5862068965517,442.419711209824,753.566678911504,7668.77394614387,3
"77",82.7586206896552,344.983580917042,591.030634427434,7928.74612092073,3
"78",87.9310344827586,309.204165498331,431.676197818489,8123.87997294838,3
"79",93.1034482758621,292.510836512195,307.109994183648,8265.13950556936,3
"80",98.2758620689655,280.212166026934,218.929516349063,8365.6186538892,3
"81",103.448275862069,265.64868355875,161.313742744398,8437.79790996205,3
"82",108.620689655172,259.261051579688,115.412796996547,8490.08648768896,3
"83",113.793103448276,258.900503796858,78.7302146615666,8527.12961780677,3
"84",118.965517241379,256.294602648228,55.8397267077937,8552.62600690917,3
"85",124.137931034483,254.601992171834,39.3471993255727,8570.81114476779,3
"86",129.310344827586,253.454487858474,27.7648341696548,8583.54101423707,3
"87",134.48275862069,252.444104684978,19.748493552484,8592.56773802773,3
"88",139.655172413793,251.741803282592,14.0288753760018,8598.9896576066,3
"89",144.827586206897,251.067742166724,10.1734596017913,8603.51913449668,3
"90",150,250.314911605556,7.55221651885213,8606.89320814079,3
"91",0,5043.53192052804,18.7850691447966,0,4
"92",5.17241379310345,5031.57046838195,23.8460831024327,6.90043818845032,4
"93",10.3448275862069,4929.3580430817,105.555107745061,27.4038388460743,4
"94",15.5172413793103,4810.71509464107,163.73050551921,87.8713895125572,4
"95",20.6896551724138,4703.86596079808,209.133014612318,149.318014262444,4
"96",25.8620689655172,4413.2118943828,389.644046135121,259.461049154919,4
"97",31.0344827586207,3565.68505245088,1031.8011361206,464.830801101356,4
"98",36.2068965517241,1518.29539876674,2339.63400478134,1204.38758612476,4
"99",41.3793103448276,668.751834579578,2221.19192532084,2172.37322977242,4
"100",46.551724137931,529.771991288062,1639.76975041081,2892.77524797396,4
"101",51.7241379310345,279.8187238469,1310.01749021901,3472.48077560692,4
"102",56.8965517241379,239.07952033407,923.478844927575,3899.75862441119,4
"103",62.0689655172414,198.669083472422,658.598342901685,4205.04956329873,4
"104",67.2413793103448,155.884037008965,480.912186193996,4425.52076646988,4
"105",72.4137931034483,145.380175174387,335.311089008508,4581.62572548994,4
"106",77.5862068965517,138.946271951509,233.264126345656,4690.10659137567,4
"107",82.7586206896552,138.946271951509,158.548760325636,4764.82195739569,4
"108",87.9310344827586,136.678833257089,109.682626113023,4815.95553030272,4
"109",93.1034482758621,129.223689289356,81.0109387238388,4852.08236165964,4
"110",98.2758620689655,125.681822452265,57.8453227108721,4878.7898445097,4
"111",103.448275862069,122.825938540556,41.8385607544861,4897.65249037779,4
"112",108.620689655172,122.640976076773,28.6070287536855,4911.06898484238,4
"113",113.793103448276,121.192375835668,20.5792950832561,4920.54531875391,4
"114",118.965517241379,120.733669190626,14.4325235279787,4927.15079695423,4
"115",124.137931034483,120.344416163177,10.1094980121026,4931.86307549756,4
"116",129.310344827586,120.11387360816,7.04875770263761,4935.15435836204,4
"117",134.48275862069,119.848556587547,5.0226925133815,4937.44574057191,4
"118",139.655172413793,119.678701673441,3.56160133767955,4939.07668666172,4
"119",144.827586206897,119.504950703944,2.58324676755356,4940.22879220134,4
"120",150,119.362366253884,1.87774130082499,4941.07688211813,4
"121",0,5446.34400983341,5.08111706119962,0,5
"122",5.17241379310345,5393.22128359402,53.0598268005641,5.14401650002202,5
"123",10.3448275862069,5284.25899310537,125.508902895973,41.6572308932703,5
"124",15.5172413793103,5237.40388915952,131.635213711162,82.3860240239276,5
"125",20.6896551724138,4844.37211806387,451.003648700704,156.049360130039,5
"126",25.8620689655172,3434.00692767979,1596.82329704262,420.594902172194,5
"127",31.0344827586207,3040.70779153714,1421.6501660872,989.067169270266,5
"128",36.2068965517241,2711.59772609751,1247.68260673051,1492.14479406659,5
"129",41.3793103448276,2330.80379845111,1148.58985421418,1972.03147422932,5
"130",46.551724137931,2229.97524126987,869.068739651178,2352.38114597356,5
"131",51.7241379310345,1215.2373319141,1490.71062091284,2745.47717406766,5
"132",56.8965517241379,829.191122570724,1338.05057393055,3284.18343039333,5
"133",62.0689655172414,590.308951874358,1125.56164463182,3735.55453038843,5
"134",67.2413793103448,411.93147155965,924.854997192856,4114.6386581421,5
"135",72.4137931034483,306.807261280001,711.073947292944,4433.54391832166,5
"136",77.5862068965517,219.89623054826,552.131991540083,4679.39690480627,5
"137",82.7586206896552,169.108906136353,418.313457774355,4864.0027629839,5
"138",87.9310344827586,141.070423056616,306.699225725594,5003.6554781124,5
"139",93.1034482758621,129.114127856206,218.69207005704,5103.61892898136,5
"140",98.2758620689655,120.51541419968,156.018634751361,5174.89107794357,5
"141",103.448275862069,117.883134702328,108.571077957553,5224.97091423473,5
"142",108.620689655172,113.967743381794,76.9815190290805,5260.47586448374,5
"143",113.793103448276,113.827300800999,52.4627517275397,5285.13507436607,5
"144",118.965517241379,111.402225789247,37.6702646272135,5302.35263647815,5
"145",124.137931034483,110.569063074938,26.3689305489116,5314.48713327076,5
"146",129.310344827586,108.59675036923,19.6127759292318,5323.21560059615,5
"147",134.48275862069,108.436840976758,13.4628411118621,5329.52544480599,5
"148",139.655172413793,107.715459059044,9.78968845421556,5333.91997938135,5
"149",144.827586206897,107.141286191671,7.12646823150429,5337.15737247143,5
"150",150,107.003355177736,4.96307337251547,5339.45869834436,5
"151",0,19064.9326448329,17.3684569629841,0,6
"152",5.17241379310345,19019.2654514432,52.5794477062685,10.4562026463658,6
"153",10.3448275862069,18878.6011992014,164.172089716336,39.5278128781606,6
"154",15.5172413793103,18798.2156380107,175.640294562922,108.445169222238,6
"155",20.6896551724138,17800.1772406906,995.078535685752,287.04532541948,6
"156",25.8620689655172,15340.7906330866,2882.10734963814,859.403119071146,6
"157",31.0344827586207,13637.7763878354,3476.07396519853,1968.45074876196,6
"158",36.2068965517241,12970.8436153951,2982.8152362862,3128.6422501146,6
"159",41.3793103448276,8516.13494859177,5699.02711554937,4867.13903765473,6
"160",46.551724137931,4867.09291984472,7218.99730471313,6996.21087723802,6
"161",51.7241379310345,2982.40734128262,6469.00865719764,9630.8851033156,6
"162",56.8965517241379,1951.64635219007,5186.27701487597,11944.3777347298,6
"163",62.0689655172414,1171.6388825327,4132.58874571544,13778.0734735477,6
"164",67.2413793103448,1045.92726734745,2904.70633962175,15131.6674948267,6
"165",72.4137931034483,908.882641077142,2093.23218545717,16080.1862752616,6
"166",77.5862068965517,680.921770651187,1612.39082914346,16788.9885020012,6
"167",82.7586206896552,542.904994363828,1216.84048356383,17322.5556238682,6
"168",87.9310344827586,539.529402357021,829.968849485356,17712.8028499535,6
"169",93.1034482758621,523.725609849363,579.006091701987,17979.5694002445,6
"170",98.2758620689655,498.063788712499,415.095981101189,18169.1413319822,6
"171",103.448275862069,477.229327288384,299.859810557541,18305.2119639499,6
"172",108.620689655172,472.219722687419,207.7680764739,18402.3133026345,6
"173",113.793103448276,467.348744070874,145.222118685074,18469.7302390399,6
"174",118.965517241379,465.516554652618,100.15733034864,18516.6272167946,6
"175",124.137931034483,462.933810082489,70.1903920275653,18549.1768996858,6
"176",129.310344827586,461.395532733525,49.0931900653233,18571.812378997,6
"177",134.48275862069,460.271015979658,34.4130043826486,18587.6170814335,6
"178",139.655172413793,459.966042460018,23.6289038690548,18598.7061554668,6
"179",144.827586206897,458.791614147363,17.037395091504,18606.472092557,6
"180",150,458.232860772076,12.0542309056973,18612.0140101181,6
